
Название курса,Направление,Платформа,Ссылка,Статус,Приоритет,Примерная длительность
"The Complete Python Developer","Python","Udemy","https://www.udemy.com/course/complete-python-developer-zero-to-mastery/","В процессе","⭐⭐⭐⭐⭐","60 ч"
"Python for Data Science and Machine Learning","Python","Udemy","https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/","Не начат","⭐⭐⭐⭐⭐","25 ч"
"Data Governance: Principles and Practices","Data Governance","Udemy","https://www.udemy.com/course/data-governance-principles-and-practices/","Не начат","⭐⭐⭐⭐⭐","5 ч"
"DAMA-DMBOK Introduction","Data Governance","Udemy","https://www.udemy.com/course/dama-dmbok-data-management-introduction/","Не начат","⭐⭐⭐⭐","2.5 ч"
"Data Warehouse Fundamentals for Beginners","DWH","Udemy","https://www.udemy.com/course/data-warehouse-the-ultimate-guide/","Не начат","⭐⭐⭐⭐","8 ч"
"ETL and Data Pipelines with Shell, Airflow, and Kafka","ETL","Udemy","https://www.udemy.com/course/etl-and-data-pipelines-with-shell-airflow-and-kafka/","Не начат","⭐⭐⭐⭐","10 ч"
"Tableau 2024 A-Z: Hands-On Tableau Training for Data Science","BI / Tableau","Udemy","https://www.udemy.com/course/tableau10/","Не начат","⭐⭐⭐⭐","8 ч"
"Microsoft Power BI Desktop for Business Intelligence","BI / Power BI","Udemy","https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/","Не начат","⭐⭐⭐⭐","6 ч"
"SQL Bootcamp: Go from Zero to Hero","SQL","Udemy","https://www.udemy.com/course/the-complete-sql-bootcamp/","Не начат","⭐⭐⭐⭐⭐","9 ч"
"Mastering Data Modeling Fundamentals","Архитектура данных","Udemy","https://www.udemy.com/course/mastering-data-modeling-fundamentals/","Не начат","⭐⭐⭐⭐","6 ч"
"GDPR Training: A Guide to GDPR Compliance","Регуляторика","Udemy","https://www.udemy.com/course/eu-gdpr-compliance-complete-training-course/","Не начат","⭐⭐⭐","3 ч"
